"route","provider","in","out","distance","c1","c2","c3","c4","c5"
"A1","Brisa","Alverca","Vila Franca de Xira I","0","0","0","0","0","0"
"A1","Brisa","V.Franca II","Vila Franca de Xira I","0","0","0","0","0","0"
"A1","Brisa","Vila Franca de Xira I","Castanheira do Ribatejo (A1/A10)","0","0","0","0","0","0"
"A1","Brisa","Castanheira do Ribatejo (A1/A10)","Carregado","0","0","0","0","0","0"
"A1","Brisa","Carregado","Aveiras de Cima","0","0","0","0","0","0"
"A1","Brisa","Aveiras de Cima","Cartaxo","0","0","0","0","0","0"
"A1","Brisa","Cartaxo","Santarém (A1/A15)","0","0","0","0","0","0"
"A1","Brisa","Santarém (A1/A15)","Torres Novas (A23)","0","0","0","0","0","0"
"A1","Brisa","Torres Novas (A23)","Fátima","0","0","0","0","0","0"
"A1","Brisa","Fátima","Leiria","0","0","0","0","0","0"
"A1","Brisa","Leiria","Pombal","0","0","0","0","0","0"
"A1","Brisa","Pombal","Soure","0","0","0","0","0","0"
"A1","Brisa","Soure","Condeixa","0","0","0","0","0","0"
"A1","Brisa","Condeixa","Coimbra Sul","0","0","0","0","0","0"
"A1","Brisa","Coimbra Sul","Coimbra Norte (A1/A14)","0","0","0","0","0","0"
"A1","Brisa","Coimbra Norte (A1/A14)","Mealhada-Cant.","0","0","0","0","0","0"
"A1","Brisa","Mealhada-Cant.","Aveiro Sul","0","0","0","0","0","0"
"A1","Brisa","Aveiro Sul","Albergaria","0","0","0","0","0","0"
"A1","Brisa","Albergaria","Estarreja","0","0","0","0","0","0"
"A1","Brisa","Estarreja","Feira","0","0","0","0","0","0"
"A1","Brisa","Feira","IC 24 Sul","0","0","0","0","0","0"
"A1","Brisa","IC 24 Sul","Grijo PV","0","0","0","0","0","0"
"A2","Brisa","Fogueteiro","Coina","0","0","0","0","0","0"
"A2","Brisa","Coina","Palmela (A2/A12)","0","0","0","0","0","0"
"A2","Brisa","Palmela (A2/A12)","Marateca (A2/A6/A13)","0","0","0","0","0","0"
"A2","Brisa","Marateca (A2/A6/A13)","Alcacer do Sal","0","0","0","0","0","0"
"A2","Brisa","Alcacer do Sal","Grandola Norte","0","0","0","0","0","0"
"A2","Brisa","Grandola Norte","Grandola Sul","0","0","0","0","0","0"
"A2","Brisa","Grandola Sul","Aljustrel","0","0","0","0","0","0"
"A2","Brisa","Aljustrel","Castro Verde","0","0","0","0","0","0"
"A2","Brisa","Castro Verde","Almodôvar","0","0","0","0","0","0"
"A2","Brisa","Almodôvar","S. Bartolomeu de Messines","0","0","0","0","0","0"
"A2","Brisa","S. Bartolomeu de Messines","A22 (Algarve)","0","0","0","0","0","0"
"A3","Brisa","Maia (A3/A41)","Santo Tirso (A7-V.N.Famalicão)","0","0","0","0","0","0"
"A3","Brisa","Santo Tirso (A7-V.N.Famalicão)","Cruz","0","0","0","0","0","0"
"A3","Brisa","Cruz","Braga Sul","0","0","0","0","0","0"
"A3","Brisa","Braga Sul","Braga Oeste","0","0","0","0","0","0"
"A3","Brisa","Braga Oeste","Vila Verde (EN 201)","0","0","0","0","0","0"
"A3","Brisa","Vila Verde (EN 201)","Ponte de Lima Sul","0","0","0","0","0","0"
"A3","Brisa","Ponte de Lima Sul","Ponte de Lima Norte","0","0","0","0","0","0"
"A3","Brisa","Ponte de Lima Norte","EN303","0","0","0","0","0","0"
"A3","Brisa","EN303","Valença","0","0","0","0","0","0"
"A4","Brisa","Custóias","Via Norte","0","0","0","0","0","0"
"A4","Brisa","Via Norte","Ponte da Pedra","0","0","0","0","0","0"
"A4","Brisa","Ermesinde","Valongo","0","0","0","0","0","0"
"A4","Brisa","Valongo","Campo","0","0","0","0","0","0"
"A4","Brisa","Campo","Baltar","0","0","0","0","0","0"
"A4","Brisa","Baltar","Paredes","0","0","0","0","0","0"
"A4","Brisa","Paredes","Guilhufe","0","0","0","0","0","0"
"A4","Brisa","Guilhufe","Penafiel","0","0","0","0","0","0"
"A4","Brisa","Penafiel","Castelões (A4/IP9) 7","0","0","0","0","0","0"
"A4","Brisa","Castelões (A4/IP9)","Amarante","0","0","0","0","0","0"
"A4","Brisa","Amarante","Túnel do Marão - Parada de Cunhos","0","0","0","0","0","0"
"A4","Brisa","Parada de Cunhos","Vila Real Sul (A24)","0","0","0","0","0","0"
"A4","Brisa","Vila Real (A24)","Mirandela - Macedo de Cavaleiros","0","0","0","0","0","0"
"A4","Brisa","Bragança Oeste","Bragança Este","0","0","0","0","0","0"
"A5","Brisa","Estádio Nacional","Oeiras *","0","0","0","0","0","0"
"A5","Brisa","Estádio Nacional","Carcavelos","0","0","0","0","0","0"
"A5","Brisa","Oeiras","Carcavelos *","0","0","0","0","0","0"
"A5","Brisa","Oeiras","Estoril *","0","0","0","0","0","0"
"A5","Brisa","Carcavelos","Cascais","0","0","0","0","0","0"
"A8","AA","Loures","Lousa","0","0","0","0","0","0"
"A8","AA","Lousa","Venda do Pinheiro (A8/A21)","0","0","0","0","0","0"
"A8","AA","Venda do Pinheiro (A8/A21)","Enxara do Bispo","0","0","0","0","0","0"
"A8","AA","Enxara do Bispo","Torres Vedras Sul","0","0","0","0","0","0"
"A8","AA","Torres Vedras Sul","Torres Vedras N","0","0","0","0","0","0"
"A8","AA","Torres Vedras N","Ramalhal","0","0","0","0","0","0"
"A8","AA","Ramalhal","Campelos","0","0","0","0","0","0"
"A8","AA","Campelos","Bombarral","0","0","0","0","0","0"
"A8","AA","Caldas da Raínha (Zona Ind.)","Tornada PV","0","0","0","0","0","0"
"A8","AA","Tornada PV","Alfeizerão","0","0","0","0","0","0"
"A8","AA","Alfeizerão","Valado de Frades","0","0","0","0","0","0"
"A8","AA","Valado de Frades","Pataias","0","0","0","0","0","0"
"A8","AA","Pataias","Marinha G. Sul","0","0","0","0","0","0"
"A8","AA","Marinha G. Sul","Marinha Grande Este","0","0","0","0","0","0"
"A8","AA","Marinha Grande Este","Leiria Sul","0","0","0","0","0","0"
"A8","AA","Leiria Sul","Cortes N/P","0","0","0","0","0","0"
"A8","AA","Cortes N/P","Pousos N/P","0","0","0","0","0","0"
"A9","AA","Alverca","Zambujal","0","0","0","0","0","0"
"A9","AA","Zambujal","Odivelas","0","0","0","0","0","0"
"A9","AA","Odivelas","Pontinha","0","0","0","0","0","0"
"A9","AA","Pontinha","Queluz","0","0","0","0","0","0"
"A9","AA","Queluz","Estádio Nacional","0","0","0","0","0","0"
"A11","Ascendi","A28/IC1","Nó com EN205","0","0","0","0","0","0"
"A11","Ascendi","Nó com EN205","Barcelos","0","0","0","0","0","0"
"A11","Ascendi","Barcelos","Braga Oeste","0","0","0","0","0","0"
"A11","Ascendi","Braga Oeste","Braga (Ferreiros)","0","0","0","0","0","0"
"A11","Ascendi","Braga (Ferreiros)","Celeirós","0","0","0","0","0","0"
"A11","Ascendi","Celeirós","Guimarães Oeste","0","0","0","0","0","0"
"A11","Ascendi","Guimarâes Oeste","Nó de Selho (A7)","0","0","0","0","0","0"
"A11","Ascendi","Calvos","Vizela","0","0","0","0","0","0"
"A11","Ascendi","Vizela","Felgueiras *","0","0","0","0","0","0"
"A11","Ascendi","Nó IP9 (Longra)","Felgueiras *","0","0","0","0","0","0"
"A11","Ascendi","Felgueiras","Lousada *","0","0","0","0","0","0"
"A11","Ascendi","Vizela","Lousada","0","0","0","0","0","0"
"A11","Ascendi","Lousada","Lousada *","0","0","0","0","0","0"
"A11","Ascendi","Lousada","EN15","0","0","0","0","0","0"
"A11","Ascendi","EN15","EN211 - Castelões (A4/IP9)","0","0","0","0","0","0"
"A12","Brisa","Montijo","Pinhal Novo PV","0","0","0","0","0","0"
"A12","Brisa","Pinhal Novo PV","Setubal PV","0","0","0","0","0","0"
"A21","AA","Venda do Pinheiro (A8/A21)","Malveira","0","0","0","0","0","0"
"A21","AA","Malveira","Mafra Este","0","0","0","0","0","0"
"A21","AA","Mafra Este","Mafra Oeste","0","0","0","0","0","0"
"A21","AA","Mafra Oeste","Ericeira","0","0","0","0","0","0"
"A41","Ascendi","Perafita","Aeroporto","0","0","0","0","0","0"
"A41","Ascendi","Aeroporto","EN13","0","0","0","0","0","0"
"A41","Ascendi","EN13","EN14","0","0","0","0","0","0"
"A41","Ascendi","EN14","EN107","0","0","0","0","0","0"
"A41","Ascendi","Maia (A3/A41)","Alfena","0","0","0","0","0","0"
"A41","Ascendi","Alfena","Sto Tirso","0","0","0","0","0","0"
"A41","Ascendi","Ermida","Nó A41/A42","0","0","0","0","0","0"
"A41","Ascendi","Nó A41/A42 - Gandra","Nó A4 - Zona Ind de Campo","0","0","0","0","0","0"
"A41","Ascendi","Zona Ind. de Campo","Aguiar de Sousa","0","0","0","0","0","0"
"A41","Ascendi","Aguiar de Sousa - Nó A43","Medas","0","0","0","0","0","0"
"A41","Ascendi","Medas","Nó A32 - Sandim","0","0","0","0","0","0"
"A41","Ascendi","Sandim","Nó A1 (Argoncilhe)","0","0","0","0","0","0"
"A42","Ascendi","Nó A41/A42","Seroa","0","0","0","0","0","0"
"A42","Ascendi","Paços de Ferreira","EN106","0","0","0","0","0","0"
"A42","Ascendi","EN106","Lousada (A11)","0","0","0","0","0","0"
"Pontes","LUSOPONTE","P. 25 de Abril","P. 25 de Abril","0","0","0","0","0","0"
"Pontes","LUSOPONTE","P.Vasco da Gama","P.Vasco da Gama","0","0","0","0","0","0"